0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:35 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:35 +0800] "GET /ch20/logos/20190923172144877.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:35 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:43 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:59 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:20 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:22 +0800] "GET /ch20/adminGoods/selectGoods?act=deleteSelect HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:26 +0800] "GET /ch20/adminGoods/deleteGoods?ids=14&ids=15 HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:30 +0800] "GET /ch20/ HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:30 +0800] "GET /ch20/logos/20190923174920455.jpg HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:38 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:49:59 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:50:02 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:50:19 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:04 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:28 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/ HTTP/1.1" 200 12601
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/logos/20190923175019056.jpg HTTP/1.1" 200 64766
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/logos/20190923174920455.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/logos/20190923175128104.jpg HTTP/1.1" 200 101027
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/logos/20190923174959176.jpg HTTP/1.1" 200 39371
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/images/before/top_5.gif HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:30 +0800] "GET /ch20/images/before/top_6.gif HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:49 +0800] "GET /ch20/adminGoods/selectGoods?act=updateSelect HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:51:54 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:08 +0800] "POST /ch20/adminGoods/addGoods?updateAct=update HTTP/1.1" 200 3388
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:13 +0800] "GET /ch20/ HTTP/1.1" 200 12577
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:13 +0800] "GET /ch20/logos/20190923174920455.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:13 +0800] "GET /ch20/logos/20190923175019056.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:13 +0800] "GET /ch20/logos/20190923175128104.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:52:13 +0800] "GET /ch20/logos/20190923174959176.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:57:47 +0800] "GET /ch20/adminGoods/selectAGoods?id=13&act=updateAgoods HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:57:47 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
